category,accuracy,precision,recall,f1,support,mean_entropy,std_entropy,total_count
why_q,0.9966666666666667,0.9375,1.0,0.967741935483871,15.0,0.005977174392350472,0.04584555360434081,449.0
whether_q,0.9366666666666666,0.8709677419354839,0.9204545454545454,0.8950276243093923,88.0,0.019326820645963652,0.11625802778741416,2365.0
which_q,0.8966666666666666,0.8363636363636363,0.6764705882352942,0.7479674796747967,68.0,0.11058373106240846,0.2703838186238169,1428.0
whathow_q,0.9233333333333333,0.8571428571428571,0.9320388349514563,0.8930232558139535,103.0,0.04568105685231655,0.1881939425826215,2633.0
hobsons_c,0.9966666666666667,0.9333333333333333,1.0,0.9655172413793104,14.0,0.06045928011273722,0.22404437244004496,778.0
M,0.9933333333333333,1.0,0.7142857142857143,0.8333333333333334,7.0,0.6061611677153314,0.32328559493830394,177.0
MEAN,0.9572222222222222,0.9058845947958852,0.8738749471545018,0.8837684783324429,295.0,,,
